ID,Subject,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,cheating,G1,G2,G3,G4,G3_dif,G4_dif
100097,Por,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,2,1,1.0,4.0,5,12,no,15,13,14,good,11.0,satisfactory
101021,Por,GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5.0,3,4,1.0,3.0,3,2,no,17,18,17,good,16.5,good
102965,Por,GP,M,16,U,LE3,T,1,2,health,services,course,mother,2,1,2,no,no,no,no,no,yes,yes,no,4.0,4,5,3.0,5.0,5,0,yes,9,8,10,satisfactory,3.0,unsatisfactory
102989,Por,MS,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4.0,4,3,1.0,1.0,3,4,no,14,15,16,good,15.0,good
103131,Por,GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,4.0,3,2,1.0,4.0,5,2,yes,12,13,13,satisfactory,7.5,unsatisfactory
103144,Por,GP,M,18,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3.0,3,4,4.0,5.0,4,2,no,11,11,12,satisfactory,11.5,satisfactory
105257,Por,MS,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,0,no,no,no,yes,yes,yes,no,no,1.0,1,1,1.0,1.0,5,6,no,11,12,9,satisfactory,7.5,unsatisfactory
107639,Por,MS,F,15,R,GT3,T,4,4,teacher,other,course,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,1.0,5,1,3.0,5.0,5,0,no,13,14,14,good,14.0,good
107914,Math,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,4,1.0,1.0,5,10,no,7,6,6,unsatisfactory,3.5,unsatisfactory
108089,Por,MS,M,16,R,GT3,T,3,4,other,health,other,mother,3,2,0,no,no,no,no,no,yes,no,no,3.0,4,5,1.0,2.0,5,4,no,9,10,11,satisfactory,10.0,satisfactory
108254,Por,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,3,1.0,3.0,5,0,no,12,13,12,satisfactory,12.0,satisfactory
108296,Por,GP,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,3,3,1.0,3.0,5,6,no,16,16,17,good,15.5,good
108753,Math,MS,F,18,R,GT3,T,4,4,teacher,at-home,reputation,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,3,2.0,2.0,5,7,no,6,5,6,unsatisfactory,4.25,unsatisfactory
108825,Por,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,3,2.0,3.0,5,0,yes,11,11,11,satisfactory,6.0,unsatisfactory
114462,Math,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,3,4,1.0,2.0,2,4,yes,8,7,6,unsatisfactory,0.0,unsatisfactory
114603,Math,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5.0,2,4,1.0,4.0,5,20,no,9,7,8,satisfactory,2.0,unsatisfactory
114933,Math,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1.0,2,2,1.0,3.0,5,14,yes,6,9,8,satisfactory,0,unsatisfactory
116855,Math,GP,F,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,4,3.0,3.0,5,2,yes,11,11,11,satisfactory,5.5,unsatisfactory
117720,Por,MS,M,15,U,LE3,A,2,1,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4.0,3,3,1.0,2.0,5,11,no,12,13,12,satisfactory,9.25,satisfactory
118666,Por,MS,F,17,R,GT3,T,1,1,other,services,reputation,mother,3,1,1,no,yes,no,no,yes,yes,yes,yes,5.0,2,1,1.0,2.0,1,0,yes,8,8,9,satisfactory,3.0,unsatisfactory
118864,Por,MS,F,16,U,GT3,T,3,1,other,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3.0,1,3,1.0,3.0,1,0,no,8,6,8,satisfactory,8.0,satisfactory
119979,Por,MS,F,17,U,GT3,T,4,4,health,health,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,5.0,2,5,1.0,1.0,5,0,yes,13,15,16,good,11.0,satisfactory
120102,Math,GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,3.0,3,4,1.0,1.0,4,0,no,12,13,14,good,14.0,good
122585,Math,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1.0,3,5,3.0,5.0,1,6,no,10,13,13,satisfactory,11.5,satisfactory
